a,b,c,a,b,c,a,b,c
0.16368,0.02037,0.0017,0.1768,0.00532,0.00543,0.17733,0.00364,0.00665
0.25673,0.04224,-0.00449,0.25435,0.04454,-0.00451,0.26305,0.02835,0.00313
19.377,10.2,-1.277,21.751,6.965,-0.185,23.30143,4.17828,1.0864
9.49,5.298,-0.897,8.029,6.077,-0.902,9.12937,4.00582,0.008737
-4.765,-1.343,-0.398,-10.218,3.789,-1.614,-9.6842,2.64747,-1.00912
-24.793,-6.118,0.412,-30.272,-0.094,-1.246,-30.3871,-0.01956,-1.2155455
-14.35,-9.554,0.978,-18.351,-4.935,-0.382,-19.40748,-3.09689,-1.19104
-6.279,-10.597,1.639,-8.466,-7.777,0.722,-10.39424,-4.31418,-0.8465
6.098,1.499,0.466,10.848,-3.035,1.601,10.04137,-1.43281,0.79637
11.843,11.494,-0.546,20.453,2.544,1.914,21.09061,1.6003,2.24569
72.465,26.67,-3.033,77.119,19.233,-0.212,81.87,10.801,3.576
22.831,6.474,-1.408,18.026,9.809,-1.859,19.537,6.884,-0.422
-31.81,-8.476,0.867,-37.582,-1.986,-0.955,-38.077,-1.199,-1.265
-6.44,-14.329,1.84,-13.613,-6.466,-0.312,-15.15,-3.804,-1.471
18.147,9.694,-1.369,18.784,8.123,-0.687,20.44,5.095,0.719
-3.195,-1.7,-0.123,-6.393,1.348,-0.86,-6.198,0.909,-0.618
16.01,-4.996,0.316,12.034,-1.388,-0.601,11.2107,-0.00443,-1.18572
45.134,-15.485,1.429,40.714,-11.35,0.229,37.42736,-5.47892,-2.42491
67.177,-22.998,2.247,64.01,-19.76,1.143,59.02158,-10.7189,-3.00876
36.027,-13.126,1.424,35.034,-12.258,1.043,32.09446,-6.88162,-1.45369
-9.861,1.843,0.061,-6.613,-1.203,0.812,-6.51932,-1.25582,0.77525
-47.506,12.466,-0.77,-37.315,2.943,1.673,-35.57088,0.14834,2.774892
-47.784,14.954,-1.321,-38.941,6.753,0.844,-36.2576,2.211298,2.767745
-29.76,10.104,-1.091,-25.931,6.314,0,-23.7507,2.48777,1.688152
25.957,-10.114,0.675,18.714,-3.708,-0.92,17.347,-1.414,-1.882
100.817,-35.614,3.433,96.245,-31.204,1.889,88.663,-17.39,-4.491
30.527,-11.357,1.275,30.858,-11.503,1.166,28.391,-6.935,-0.983
-51.097,6.597,0.322,-41.888,-2.813,2.666,-41.911,-2.44,2.328
34.556,-11.598,0.981,29.094,-6.696,-0.337,26.77,-2.646,-2.118
35.034,-11.752,1.135,32.651,-9.366,0.393,30.072,-4.731,-1.717
58.759,1.2,0,58.729,1.158,0,59.01429,0.7223,0.1728074
58.853,0.65,0,58.45,0.809,0,58.4463,0.72694,0.078703
61.369,-0.086,0,60.5,0.341,0,60.11362,0.77921,-0.0942948
62.051,-1.164,0,61.56,-0.877,0,61.17741,-0.34102,-0.189049
63.138,-1.168,0,63.076,-1.091,0,62.84329,-0.7351,-0.136505
61.875,-1.053,0,62.474,-1.288,0,62.49059,-1.18841,-0.0996442
59.497,0.296,0,60.251,-0.057,0,60.62459,-0.50415,0.1118895
59.89,1.142,0,60.678,0.757,0,61.31203,-0.09276,0.2704993
33.122,3.888,0,33.314,3.729,0,34.926,1.437,0.797
78.817,1.135,0,77.861,1.546,0,77.69,1.628,0.06
53.827,-1.657,0,53.362,-1.355,0,52.971,-0.768,-0.22
32.985,-2.528,0,34.005,-2.921,0,33.882,-2.519,-0.257
77.732,1.095,0,77.519,1.138,0,77.682,0.869,0.109
40.077,-0.121,0,39.509,0.163,0,39.221,0.503,-0.08
